Fight_URL,Event_Name,Event_URL,Fight_Title,Method,Round_Finished,Referee,Stop_Time,F1_URL,F1_First,F1_Last,F1_Status,F1_KD,F1_Total_Str_Landed,F1_Total_Str_Attempted,F1_Sig_Str_Landed,F1_Sig_Str_Attempted,F1_Sig_Str_Head_Landed,F1_Sig_Str_Head_Attempted,F1_Sig_Str_Body_Landed,F1_Sig_Str_Body_Attempted,F1_Sig_Str_Leg_Landed,F1_Sig_Str_Leg_Attempted,F1_Sig_Str_Distance_Landed,F1_Sig_Str_Distance_Attempted,F1_Sig_Str_Clinch_Landed,F1_Sig_Str_Clinch_Attempted,F1_Sig_Str_Ground_Landed,F1_Sig_Str_Ground_Attempted,F1_TD_Landed,F1_TD_Attempted,F1_Sub_Attempted,F1_Rev,F1_CTRL_TIME,F2_URL,F2_First,F2_Last,F2_Status,F2_KD,F2_Total_Str_Landed,F2_Total_Str_Attempted,F2_Sig_Str_Landed,F2_Sig_Str_Attempted,F2_TD_Landed,F2_TD_Attempted,F2_Sub_Attempted,F2_Rev,F2_CTRL_TIME,F2_Sig_Str_Head_Landed,F2_Sig_Str_Head_Attempted,F2_Sig_Str_Body_Landed,F2_Sig_Str_Body_Attempted,F2_Sig_Str_Leg_Landed,F2_Sig_Str_Leg_Attempted,F2_Sig_Str_Distance_Landed,F2_Sig_Str_Distance_Attempted,F2_Sig_Str_Clinch_Landed,F2_Sig_Str_Clinch_Attempted,F2_Sig_Str_Ground_Landed,F2_Sig_Str_Ground_Attempted
http://www.ufcstats.com/fight-details/574b4599ae9cb64e,UFC 75: Champion vs Champion,http://www.ufcstats.com/event-details/0aa92558424ced9e,Lightweight Bout,KO/TKO,2,Yves Lavigne,2:04,http://www.ufcstats.com/fighter-details/5f87a5c00b3d17ed,Dennis,Siver,W,1,47,87,28,66,25,59,1,2,2,5,10,27,2,9,16,30,0,2,0,0,3:49,http://www.ufcstats.com/fighter-details/bc8f6b42767e28df,Naoyuki,Kotani,L,0,14,36,9,30,0,0,2,0,0:05,4,23,0,0,5,7,9,26,0,4,0,0
http://www.ufcstats.com/fight-details/e89db3b111f92587,UFC Fight Night: Stevenson vs Guillard,http://www.ufcstats.com/event-details/a6c2f5381d575920,Lightweight Bout,Decision - Unanimous,3,Herb Dean,5:00,http://www.ufcstats.com/fighter-details/8a59d346dc976a10,Thiago,Tavares,W,0,159,175,21,28,13,18,7,7,1,3,5,11,0,0,16,17,4,6,2,1,5:08,http://www.ufcstats.com/fighter-details/bc8f6b42767e28df,Naoyuki,Kotani,L,0,72,94,12,30,1,2,1,3,5:55,3,17,1,2,8,11,8,22,3,5,1,3
http://www.ufcstats.com/fight-details/4eb5f99202f5fe97,UFC Fight Night: Ortega vs. The Korean Zombie,http://www.ufcstats.com/event-details/d4f364dd076bb0e2,Welterweight Bout,Decision - Unanimous,3,Lukasz Bosacki,5:00,http://www.ufcstats.com/fighter-details/6f7c616b98e18c29,Claudio,Silva,L,0,66,216,64,214,30,143,11,43,23,28,64,214,0,0,0,0,2,12,0,0,0:58,http://www.ufcstats.com/fighter-details/8f6a18831a120817,James,Krause,W,0,96,162,94,159,0,1,0,0,0:14,73,135,18,21,3,3,94,159,0,0,0,0
http://www.ufcstats.com/fight-details/164eb9071caf3fe8,UFC 173: Barao vs Dillashaw,http://www.ufcstats.com/event-details/9ca265dfe8323db3,Lightweight Bout,KO/TKO,1,Jason Herzog,5:00,http://www.ufcstats.com/fighter-details/a54fc2d6fc224dc3,Jamie,Varner,L,0,9,33,7,30,6,25,1,5,0,0,3,19,2,7,2,4,1,1,0,0,0:35,http://www.ufcstats.com/fighter-details/8f6a18831a120817,James,Krause,W,0,32,66,22,51,0,0,0,1,2:18,12,36,5,6,5,9,18,40,1,5,3,6
http://www.ufcstats.com/fight-details/3b1453df439a5024,UFC Fight Night: Stephens vs. Choi,http://www.ufcstats.com/event-details/fc1868f56d3036eb,Lightweight Bout,Decision - Unanimous,3,Mario Yamasaki,5:00,http://www.ufcstats.com/fighter-details/8f6a18831a120817,James,Krause,W,0,56,93,35,67,30,60,3,4,2,3,18,43,1,2,16,22,3,11,2,1,10:09,http://www.ufcstats.com/fighter-details/c17041f1bb5768d8,Alex,White,L,0,97,175,56,127,1,1,0,0,0:53,42,109,14,17,0,1,29,91,12,15,15,21
http://www.ufcstats.com/fight-details/36d90f1812f0d432,UFC Fight Night: Cowboy vs. Gaethje,http://www.ufcstats.com/event-details/4834ff149dc9542a,Light Heavyweight Bout,Decision - Split,3,Yves Lavigne,5:00,http://www.ufcstats.com/fighter-details/7ff97850e8c32bda,Glover,Teixeira,W,0,85,119,43,71,39,67,4,4,0,0,22,45,10,10,11,16,1,6,2,2,4:22,http://www.ufcstats.com/fighter-details/1091d4d957141094,Nikita,Krylov,L,0,74,123,47,95,2,4,1,1,4:39,20,66,17,19,10,10,37,85,3,3,7,7
http://www.ufcstats.com/fight-details/aa232e53d285cc6d,UFC Fight Night: Blachowicz vs. Jacare,http://www.ufcstats.com/event-details/81ca2c245b19b3c5,Welterweight Bout,KO/TKO,3,Fernando Portella,4:19,http://www.ufcstats.com/fighter-details/1bcaac2d99b90fce,Sergio,Moraes,L,0,42,100,41,99,36,91,3,6,2,2,41,99,0,0,0,0,1,4,0,0,2:17,http://www.ufcstats.com/fighter-details/8f6a18831a120817,James,Krause,W,3,125,200,102,174,0,0,0,1,2:11,79,148,7,10,16,16,97,166,0,0,5,8
http://www.ufcstats.com/fight-details/63af858a04c1ad79,UFC 161: Evans vs Henderson,http://www.ufcstats.com/event-details/8fd1f27e86661ede,Lightweight Bout,Submission,3,Adam Cheadle,4:47,http://www.ufcstats.com/fighter-details/501b07aec9b8fc2d,Sam,Stout,L,0,81,234,73,226,24,155,18,32,31,39,66,213,2,3,5,10,2,2,0,0,1:20,http://www.ufcstats.com/fighter-details/8f6a18831a120817,James,Krause,W,0,110,204,96,188,1,2,1,1,2:02,68,153,13,17,15,18,91,178,4,5,1,5
http://www.ufcstats.com/fight-details/5bba49d88db7430f,UFC Fight Night: Lee vs. Oliveira,http://www.ufcstats.com/event-details/53278852bcd91e11,Light Heavyweight Bout,Decision - Unanimous,3,Mike Beltran,5:00,http://www.ufcstats.com/fighter-details/c21f26bbde777573,Johnny,Walker,L,0,91,112,37,50,33,45,2,3,2,2,10,14,8,9,19,27,0,0,0,1,2:25,http://www.ufcstats.com/fighter-details/1091d4d957141094,Nikita,Krylov,W,0,128,148,45,58,3,8,0,1,11:20,38,49,6,7,1,2,10,18,2,3,33,37
http://www.ufcstats.com/fight-details/21d6db22c6089308,UFC Fight Night: Holloway vs Oliveira,http://www.ufcstats.com/event-details/2ce6541127b0e232,Light Heavyweight Bout,Submission,1,Herb Dean,2:29,http://www.ufcstats.com/fighter-details/ab943cd2c3c17825,Marcos,Rogerio,L,0,5,10,5,10,3,8,1,1,1,1,5,10,0,0,0,0,0,0,2,0,0:00,http://www.ufcstats.com/fighter-details/1091d4d957141094,Nikita,Krylov,W,0,34,46,21,29,0,1,1,0,1:58,16,23,4,5,1,1,7,13,10,11,4,5
