F1,F2,Winner
Cody Garbrandt,Rob Font,Cody Garbrandt
Carla Esparza,Yan Xiaonan,Carla Esparza
Jared Vanderaa,Justin Tafa,Jared Vanderaa
Norma Dumont,Felicia Spencer,Norma Dumont
Bill Algeo,Ricardo Ramos,Bill Algeo
Edmen Shahbazyan,Jack Hermansson,Edmen Shahbazyan
Chris Barnett,Ben Rothwell,Chris Barnett
Claudio Silva,Court McGee,Claudio Silva
Victor Rodriguez,Bruno Silva,Victor Rodriguez
Nuerdanbieke Shayilan,Josh Culibao,Nuerdanbieke Shayilan
Juancamilo Ronderos,David Dvorak,Juancamilo Ronderos
Damir Hadzovic,Yancy Medeiros,Damir Hadzovic
Damir Ismagulov,Rafael Alves,Rafael Alves
